# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 3056.9500000000  0.0712138415 0.5418195446
  45.0000000000 3051.5100000000  0.0712867435 0.5416319991
  45.0000000000 3046.0800000000  0.0713598462 0.5414440527
  45.0000000000 3040.6800000000  0.0714328784 0.5412564025
  45.0000000000 3035.2900000000  0.0715061088 0.5410683586
  45.0000000000 3029.9300000000  0.0715792637 0.5408806237
  45.0000000000 3024.5800000000  0.0716526142 0.5406925024
  45.0000000000 3019.2500000000  0.0717260223 0.5405043494
  45.0000000000 3013.9400000000  0.0717994860 0.5403161696
  45.0000000000 3008.6500000000  0.0718730034 0.5401279683
  45.0000000000 3003.3800000000  0.0719465725 0.5399397506
  45.0000000000 2998.1300000000  0.0720201913 0.5397515216
  45.0000000000 2992.8900000000  0.0720939991 0.5395629260
  45.0000000000 2987.6700000000  0.0721678539 0.5393743267
  45.0000000000 2982.4700000000  0.0722417537 0.5391857290
  45.0000000000 2977.2900000000  0.0723156965 0.5389971382
  45.0000000000 2972.1300000000  0.0723896803 0.5388085595
  45.0000000000 2966.9800000000  0.0724638474 0.5386196306
  45.0000000000 2961.8600000000  0.0725379075 0.5384310906
  45.0000000000 2956.7500000000  0.0726121481 0.5382422084
  45.0000000000 2951.6500000000  0.0726865689 0.5380529851
  45.0000000000 2946.5800000000  0.0727608759 0.5378641681
  45.0000000000 2941.5200000000  0.0728353602 0.5376750180
  45.0000000000 2936.4800000000  0.0729098734 0.5374859120
  45.0000000000 2931.4600000000  0.0729844134 0.5372968554
  45.0000000000 2926.4500000000  0.0730591275 0.5371074751
  45.0000000000 2921.4700000000  0.0731337152 0.5369185325
  45.0000000000 2916.4900000000  0.0732086246 0.5367288928
  45.0000000000 2911.5400000000  0.0732834033 0.5365397018
  45.0000000000 2906.6000000000  0.0733583512 0.5363502008
  45.0000000000 2901.6800000000  0.0734333154 0.5361607766
  45.0000000000 2896.7800000000  0.0735082935 0.5359714350
  45.0000000000 2891.8900000000  0.0735834375 0.5357817930
  45.0000000000 2887.0200000000  0.0736585922 0.5355922419
  45.0000000000 2882.1600000000  0.0737339109 0.5354023961
  45.0000000000 2877.3200000000  0.0738092371 0.5352126496
  45.0000000000 2872.5000000000  0.0738845685 0.5350230083
  45.0000000000 2867.6900000000  0.0739600603 0.5348330821
  45.0000000000 2862.9000000000  0.0740355540 0.5346432697
  45.0000000000 2858.1300000000  0.0741110474 0.5344535766
  45.0000000000 2853.3700000000  0.0741866974 0.5342636089
  45.0000000000 2848.6300000000  0.0742623436 0.5340737693
  45.0000000000 2843.9000000000  0.0743381443 0.5338836610
  45.0000000000 2839.1900000000  0.0744139379 0.5336936896
  45.0000000000 2834.4900000000  0.0744898838 0.5335034554
  45.0000000000 2829.8100000000  0.0745658192 0.5333133670
  45.0000000000 2825.1500000000  0.0746417415 0.5331234301
  45.0000000000 2820.5000000000  0.0747178123 0.5329332410
  45.0000000000 2815.8700000000  0.0747938665 0.5327432124
  45.0000000000 2811.2500000000  0.0748700670 0.5325529377
  45.0000000000 2806.6400000000  0.0749464133 0.5323624186
  45.0000000000 2802.0600000000  0.0750225717 0.5321724875
  45.0000000000 2797.4800000000  0.0750990395 0.5319819042
  45.0000000000 2792.9200000000  0.0751754825 0.5317915027
  45.0000000000 2788.3800000000  0.0752518980 0.5316012890
  45.0000000000 2783.8500000000  0.0753284529 0.5314108479
  45.0000000000 2779.3400000000  0.0754049766 0.5312206039
  45.0000000000 2774.8400000000  0.0754816374 0.5310301389
  45.0000000000 2770.3500000000  0.0755584346 0.5308394548
  45.0000000000 2765.8800000000  0.0756351957 0.5306489802
  45.0000000000 2761.4200000000  0.0757120909 0.5304582929
  45.0000000000 2756.9800000000  0.0757889462 0.5302678245
  45.0000000000 2752.5500000000  0.0758659330 0.5300771500
  45.0000000000 2748.1400000000  0.0759428761 0.5298867038
  45.0000000000 2743.7400000000  0.0760199482 0.5296960581
  45.0000000000 2739.3500000000  0.0760971488 0.5295052147
  45.0000000000 2734.9800000000  0.0761743005 0.5293146126
  45.0000000000 2730.6200000000  0.0762515781 0.5291238195
  45.0000000000 2726.2800000000  0.0763288028 0.5289332771
  45.0000000000 2721.9500000000  0.0764061508 0.5287425506
  45.0000000000 2717.6400000000  0.0764834418 0.5285520845
  45.0000000000 2713.3300000000  0.0765610339 0.5283609969
  45.0000000000 2709.0400000000  0.0766385665 0.5281701766
  45.0000000000 2704.7700000000  0.0767160366 0.5279796298
  45.0000000000 2700.5100000000  0.0767936241 0.5277889146
