# Using Bulk W data set with air above and below
# Thickness of W layer is 10 nm (0.01 microns)
# Incident Angle is 45 deg
# Wavelengths span the entire data set of W date: 400 nm - 6000 nm

# Angle (deg)   Wavelength (nm)  Reflectance  Transmission
  45.0000000000 2378.2300000000  0.3859947389 0.4112618508
  45.0000000000 2374.9400000000  0.3850818275 0.4122041441
  45.0000000000 2371.6500000000  0.3841647607 0.4131516675
  45.0000000000 2368.3700000000  0.3832418175 0.4141062010
  45.0000000000 2365.1100000000  0.3823112711 0.4150695372
  45.0000000000 2361.8500000000  0.3813769481 0.4160379275
  45.0000000000 2358.6000000000  0.3804362096 0.4170137825
  45.0000000000 2355.3500000000  0.3794911870 0.4179950878
  45.0000000000 2352.1200000000  0.3785384482 0.4189853966
  45.0000000000 2348.9000000000  0.3775796673 0.4199830079
  45.0000000000 2345.6800000000  0.3766165231 0.4209862089
  45.0000000000 2342.4800000000  0.3756455765 0.4219985717
  45.0000000000 2339.2800000000  0.3746702138 0.4230166187
  45.0000000000 2336.0900000000  0.3736887012 0.4240421631
  45.0000000000 2332.9100000000  0.3727014805 0.4250749344
  45.0000000000 2329.7400000000  0.3717075869 0.4261156254
